total_pop,median_income,no_vehicle_hh,hh_total,GEOID,poverty_rate,poverty_rate_c,edu_bachelors_plus,pct_bachelors_plus,pct_renters,pct_limited_english
4446,-666666666,0,0,36005000100,,,75,0.019404915912031046,0.656320829555757,0.001799370220422852
4870,115064,73,1425,36005000200,0.14127310061601642,-0.024085910384549103,1160,0.3237510466089869,0.39789473684210525,0.019586741282823936
6257,100553,119,2309,36005000400,0.060412338181237014,-0.10494667281932851,1539,0.33705650459921155,0.389779125162408,0.006332277953674388
6177,41362,7,2205,36005001600,0.1498070793491025,-0.015551931651463013,805,0.19435055528730083,0.7941043083900227,0.015486725663716814
2181,49500,0,940,36005001901,0.2860422405876951,0.1206832295871296,447,0.3049113233287858,1.0,0.0
1883,67375,14,468,36005001902,0.3230429988974642,0.15768398789689866,146,0.10969196093163035,0.8482905982905983,0.005113636363636364
4461,24684,0,1774,36005002001,0.41403272808787267,0.24867371708730715,118,0.047696038803556995,1.0,0.021050141911069062
3915,-666666666,74,1868,36005002002,0.34881238323992525,0.18345337223935973,240,0.08504606661941885,0.7334047109207709,0.0
4528,19743,0,1923,36005002300,0.47294013695604153,0.30758112595547604,152,0.05701425356339085,1.0,0.013833528722157092
5642,27378,90,1944,36005002500,0.4448804851944345,0.27952147419386897,413,0.1192952050837666,0.948045267489712,0.020521672420406596
3335,21427,23,1159,36005002701,0.5522935779816514,0.38693456698108586,138,0.06858846918489066,0.9801553062985332,0.03434206052363142
5000,29206,0,1530,36005002702,0.44004044489383215,0.2746814338932666,255,0.07902076231794236,0.9745098039215686,0.046019629225736096
5230,64308,53,2542,36005002800,0.02503369921047564,-0.1403253117900899,1459,0.3462268628381585,0.9071597167584579,0.020437070012140835
2559,41370,73,1031,36005003100,0.22743259085580306,0.06207357985523754,306,0.1851179673321234,0.8729388942774006,0.020833333333333332
3559,24122,69,1220,36005003300,0.5283718277730254,0.3630128167724599,153,0.07463414634146341,0.8672131147540983,0.021974802226779958
3899,34185,0,1478,36005003500,0.26827391638881765,0.10291490538825213,378,0.1677762982689747,0.9607577807848444,0.0345954780713702
331,-666666666,0,188,36005003700,0.3770491803278688,0.2116901693273033,72,0.25,1.0,0.06557377049180328
1182,88077,11,366,36005003800,0.14665523156089194,-0.01870377943967358,68,0.09366391184573003,0.5846994535519126,0.019699812382739212
6227,20640,29,2330,36005003900,0.3353235436501533,0.1699645326495878,389,0.09843117408906883,0.9643776824034335,0.043557168784029036
1409,70536,42,529,36005004001,0.1022001419446416,-0.06315886905592392,327,0.3253731343283582,0.553875236294896,0.03512544802867384
6583,27328,0,2444,36005004100,0.4190548780487805,0.253695867048215,577,0.13557330827067668,0.9247135842880524,0.02800742365446263
8179,52423,51,2922,36005004200,0.19550067245384523,0.030141661453279706,1319,0.2696238757154538,0.8829568788501027,0.029469001946066165
5627,34890,140,2213,36005004300,0.27339155230796647,0.10803254130740095,538,0.15249433106575963,0.8662449164030728,0.021476510067114093
4592,17319,0,1610,36005004400,0.4871969181962384,0.32183790719567285,165,0.05759162303664921,0.9596273291925466,0.024838786720802485
1763,17083,40,672,36005004600,0.6054938632378726,0.4401348522373071,204,0.1875,0.8273809523809523,0.003207184092366902
4261,34436,19,1523,36005004800,0.3020465772759351,0.13668756627536957,334,0.12127814088598403,0.9258043335521996,0.012545739675901725
4565,34087,61,1377,36005005001,0.49001331557922767,0.3246543045786622,355,0.12788184438040345,0.8779956427015251,0.008401344215074411
6466,36598,91,1936,36005005002,0.4073665984574217,0.24200758745685616,434,0.11484519714210109,0.9240702479338843,0.03180396246089677
6492,22850,82,2360,36005005100,0.5006941230911615,0.33533511209059597,386,0.10660038663352665,0.9351694915254237,0.015949493271307527
1931,29657,56,820,36005005200,0.3785603314344899,0.2132013204339244,80,0.06779661016949153,0.8914634146341464,0.010787486515641856
5379,26437,0,1634,36005005300,0.4991568296795953,0.3337978186790298,247,0.0971675845790716,1.0,0.0071174377224199285
5715,48750,54,1781,36005005400,0.2727909011373578,0.1074318901367923,340,0.10278113663845223,0.8663672094329029,0.013551779935275081
